NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
NABA_MATRISOME	1026	372		
NABA_MATRISOME_ASSOCIATED	751	258		
NABA_MATRISOME_HGSOC_OMENTAL_METASTASIS	59	33		
NABA_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER	41	24		
NABA_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED	29	20		
NABA_MATRISOME_HIGHLY_METASTATIC_MELANOMA	18	9		
NABA_MATRISOME_HIGHLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED	12	6		
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS	30	15		
NABA_MATRISOME_MULTIPLE_MYELOMA	10	7		
NABA_MATRISOME_POORLY_METASTATIC_BREAST_CANCER	25	16		
NABA_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED	12	9		
NABA_MATRISOME_POORLY_METASTATIC_MELANOMA	38	26		
NABA_MATRISOME_POORLY_METASTATIC_MELANOMA_TUMOR_CELL_DERIVED	26	23		
NABA_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR	59	33		
NABA_PROTEOGLYCANS	35	10		
NABA_SECRETED_FACTORS	343	106		
NADELLA_PRKAR1A_TARGETS_DN	7		Rejected!	
NADELLA_PRKAR1A_TARGETS_UP	9	6		
NADERI_BREAST_CANCER_PROGNOSIS_DN	18	16		
NADERI_BREAST_CANCER_PROGNOSIS_UP	51	36		
NADLER_HYPERGLYCEMIA_AT_OBESITY	59	41		
NADLER_OBESITY_DN	49	37		
NADLER_OBESITY_UP	60	44		
NAGASHIMA_EGF_SIGNALING_UP	57	46		
NAGASHIMA_NRG1_SIGNALING_DN	55	44		
NAGASHIMA_NRG1_SIGNALING_UP	172	138		
NAGY_PCAF_COMPONENTS_HUMAN	9	6		
NAGY_STAGA_COMPONENTS_HUMAN	13	10		
NAGY_TFTC_COMPONENTS_HUMAN	18	14		
NAISHIRO_CTNNB1_TARGETS_WITH_LEF1_MOTIF	8	5		
NAKAJIMA_EOSINOPHIL	25	12		
NAKAJIMA_MAST_CELL	46	27		
NAKAMURA_ADIPOGENESIS_EARLY_DN	35	22		
NAKAMURA_ADIPOGENESIS_EARLY_UP	63	45		
NAKAMURA_ADIPOGENESIS_LATE_DN	35	24		
NAKAMURA_ADIPOGENESIS_LATE_UP	98	79		
NAKAMURA_ALVEOLAR_EPITHELIUM	5		Rejected!	
NAKAMURA_BRONCHIAL_AND_BRONCHIOLAR_EPITHELIA	7		Rejected!	
NAKAMURA_CANCER_MICROENVIRONMENT_DN	46	44		
NAKAMURA_CANCER_MICROENVIRONMENT_UP	29	12		
NAKAMURA_LUNG_CANCER	9		Rejected!	
NAKAMURA_LUNG_CANCER_DIFFERENTIATION_MARKERS	13		Rejected!	
NAKAMURA_METASTASIS	47	33		
NAKAMURA_METASTASIS_MODEL_DN	44	32		
NAKAMURA_METASTASIS_MODEL_UP	45	31		
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	648	494		
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	284	236		
NAKAYAMA_FRA2_TARGETS	44	35		
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	77	24		
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	83	29		
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	85	34		
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	89	59		
NAM_FXYD5_TARGETS_DN	18	17		
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN	51	41		
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP	70	48		
NEBEN_AML_WITH_FLT3_OR_NRAS_DN	12	10		
NEBEN_AML_WITH_FLT3_OR_NRAS_UP	8		Rejected!	
NELSON_RESPONSE_TO_ANDROGEN_DN	17	13		
NELSON_RESPONSE_TO_ANDROGEN_UP	83	65		
NEMETH_INFLAMMATORY_RESPONSE_LPS_DN	31	26		
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	84	65		
NEWMAN_ERCC6_TARGETS_DN	39	16		
NEWMAN_ERCC6_TARGETS_UP	26	18		
NGO_MALIGNANT_GLIOMA_1P_LOH	15	14		
NGUYEN_NOTCH1_TARGETS_DN	83	74		
NGUYEN_NOTCH1_TARGETS_UP	27	21		
NICK_RESPONSE_TO_PROC_TREATMENT_DN	27	23		
NICK_RESPONSE_TO_PROC_TREATMENT_UP	5		Rejected!	
NIKOLSKY_BREAST_CANCER_10Q22_AMPLICON	8	6		
NIKOLSKY_BREAST_CANCER_11Q12_Q14_AMPLICON	158	101		
NIKOLSKY_BREAST_CANCER_12Q13_Q21_AMPLICON	46	35		
NIKOLSKY_BREAST_CANCER_12Q24_AMPLICON	15	10		
NIKOLSKY_BREAST_CANCER_14Q22_AMPLICON	14	10		
NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON	22	16		
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	119	48		
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	52	38		
NIKOLSKY_BREAST_CANCER_17P11_AMPLICON	10	7		
NIKOLSKY_BREAST_CANCER_17Q11_Q21_AMPLICON	132	68		
NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON	334	202		
NIKOLSKY_BREAST_CANCER_19P13_AMPLICON	5		Rejected!	
NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON	22	17		
NIKOLSKY_BREAST_CANCER_19Q13.4_AMPLICON	7		Rejected!	
NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	38	19		
NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON	13	7		
NIKOLSKY_BREAST_CANCER_20P13_AMPLICON	8		Rejected!	
NIKOLSKY_BREAST_CANCER_20Q11_AMPLICON	31	26		
NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON	149	81		
NIKOLSKY_BREAST_CANCER_21Q22_AMPLICON	16	8		
NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON	17	10		
NIKOLSKY_BREAST_CANCER_5P15_AMPLICON	26	17		
NIKOLSKY_BREAST_CANCER_6P24_P22_AMPLICON	21	18		
NIKOLSKY_BREAST_CANCER_7P15_AMPLICON	11	5		
NIKOLSKY_BREAST_CANCER_7P22_AMPLICON	38	27		
NIKOLSKY_BREAST_CANCER_7Q21_Q22_AMPLICON	75	52		
NIKOLSKY_BREAST_CANCER_8P12_P11_AMPLICON	57	38		
NIKOLSKY_BREAST_CANCER_8Q12_Q22_AMPLICON	132	92		
NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON	157	88		
NIKOLSKY_MUTATED_AND_AMPLIFIED_IN_BREAST_CANCER	94	62		
NIKOLSKY_OVERCONNECTED_IN_BREAST_CANCER	21	16		
NOJIMA_SFRP2_TARGETS_DN	26	21		
NOJIMA_SFRP2_TARGETS_UP	32	23		
NOURUZI_NEPC_ASCL1_TARGETS	159	40		
NOUSHMEHR_GBM_GERMLINE_MUTATED	8		Rejected!	
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	50	26		
NOUSHMEHR_GBM_SOMATIC_MUTATED	9	8		
NOUZOVA_METHYLATED_IN_APL	66	34		
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	138	121		
NUMATA_CSF3_SIGNALING_VIA_STAT3	21	15		
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_DN	13	11		
NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP	29	23		
NUTT_GBM_VS_AO_GLIOMA_DN	46	37		
NUTT_GBM_VS_AO_GLIOMA_UP	46	39		
NUYTTEN_EZH2_TARGETS_DN	1023	888		
NUYTTEN_EZH2_TARGETS_UP	1033	804		
NUYTTEN_NIPP1_TARGETS_DN	845	697		
NUYTTEN_NIPP1_TARGETS_UP	768	601		
ODONNELL_METASTASIS_DN	24	14		
ODONNELL_METASTASIS_UP	76	36		
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	46	43		
ODONNELL_TARGETS_OF_MYC_AND_TFRC_UP	83	51		
ODONNELL_TFRC_TARGETS_DN	139	104		
ODONNELL_TFRC_TARGETS_UP	443	220		
OHASHI_AURKA_TARGETS	5	5		
OHASHI_AURKB_TARGETS	8	5		
OHGUCHI_LIVER_HNF4A_TARGETS_DN	171	76		
OHGUCHI_LIVER_HNF4A_TARGETS_UP	50	32		
OHM_EMBRYONIC_CARCINOMA_DN	8	6		
OHM_EMBRYONIC_CARCINOMA_UP	6		Rejected!	
OHM_METHYLATED_IN_ADULT_CANCERS	27	17		
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_DN	274	178		
OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP	349	292		
OKAWA_NEUROBLASTOMA_1P36_31_DELETION	22	14		
OKUMURA_INFLAMMATORY_RESPONSE_LPS	182	131		
OLSSON_E2F3_TARGETS_DN	39	25		
OLSSON_E2F3_TARGETS_UP	26	21		
ONDER_CDH1_SIGNALING_VIA_CTNNB1	84	53		
ONDER_CDH1_TARGETS_1_DN	170	145		
ONDER_CDH1_TARGETS_1_UP	139	106		
ONDER_CDH1_TARGETS_2_DN	473	380		
ONDER_CDH1_TARGETS_2_UP	257	154		
ONDER_CDH1_TARGETS_3_DN	59	41		
ONDER_CDH1_TARGETS_3_UP	18	17		
ONGUSAHA_BRCA1_TARGETS_DN	11	8		
ONGUSAHA_BRCA1_TARGETS_UP	13	10		
ONGUSAHA_TP53_TARGETS	38	28		
ONKEN_UVEAL_MELANOMA_DN	533	429		
ONKEN_UVEAL_MELANOMA_UP	790	675		
ONO_AML1_TARGETS_DN	39	23		
ONO_AML1_TARGETS_UP	24	10		
ONO_FOXP3_TARGETS_DN	41	24		
ONO_FOXP3_TARGETS_UP	23	13		
OSADA_ASCL1_TARGETS_DN	24	19		
OSADA_ASCL1_TARGETS_UP	46	27		
OSAWA_TNF_TARGETS	10	8		
OSMAN_BLADDER_CANCER_DN	431	351		
OSMAN_BLADDER_CANCER_UP	402	353		
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_DN	281	221		
OSWALD_HEMATOPOIETIC_STEM_CELL_IN_COLLAGEN_GEL_UP	224	164		
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_DN	35	14		
OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	69	62		
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_DN	12	12		
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	118	112		
OUILLETTE_CLL_13Q14_DELETION_DN	55	37		
OUILLETTE_CLL_13Q14_DELETION_UP	75	63		
OUYANG_PROSTATE_CANCER_MARKERS	21	16		
OUYANG_PROSTATE_CANCER_PROGRESSION_DN	21	16		
OUYANG_PROSTATE_CANCER_PROGRESSION_UP	21	17		
OZANNE_AP1_TARGETS_UP	14	10		
OZEN_MIR125B1_TARGETS	23	18		
PACHER_TARGETS_OF_IGF1_AND_IGF2_UP	36	27		
PALOMERO_GSI_SENSITIVITY_DN	5	5		
PALOMERO_GSI_SENSITIVITY_UP	7	5		
PAL_PRMT5_TARGETS_DN	30	19		
PAL_PRMT5_TARGETS_UP	204	173		
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN	148	99		
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_UP	134	85		
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN	43	30		
PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP	53	37		
PARENT_MTOR_SIGNALING_DN	44	25		
PARENT_MTOR_SIGNALING_UP	567	424		
PARK_APL_PATHOGENESIS_DN	48	33		
PARK_APL_PATHOGENESIS_UP	14	11		
PARK_HSC_AND_MULTIPOTENT_PROGENITORS	45	38		
PARK_HSC_MARKERS	44	34		
PARK_HSC_VS_MULTIPOTENT_PROGENITORS_DN	15	14		
PARK_HSC_VS_MULTIPOTENT_PROGENITORS_UP	19	14		
PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_DN	6		Rejected!	
PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_UP	12	10		
PARK_TRETINOIN_RESPONSE	12	5		
PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION	30	23		
PARK_TRETINOIN_RESPONSE_AND_RARA_PLZF_FUSION	23	14		
PASINI_SUZ12_TARGETS_DN	316	254		
PASINI_SUZ12_TARGETS_UP	113	79		
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_DN	172	126		
PASQUALUCCI_LYMPHOMA_BY_GC_STAGE_UP	287	224		
PASTURAL_RIZ1_TARGETS_DN	5		Rejected!	
PASTURAL_RIZ1_TARGETS_UP	10	5		
PATIL_LIVER_CANCER	660	550		
PEART_HDAC_PROLIFERATION_CLUSTER_DN	71	62		
PEART_HDAC_PROLIFERATION_CLUSTER_UP	53	48		
PECE_MAMMARY_STEM_CELL_DN	144	110		
PECE_MAMMARY_STEM_CELL_UP	139	121		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1	46	34		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_3	20	14		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_4	108	77		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_5	11	10		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6	29	14		
PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_7	399	307		
PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2	75	60		
PEDRIOLI_MIR31_TARGETS_DN	413	239		
PEDRIOLI_MIR31_TARGETS_UP	223	104		
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN	49	44		
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP	64	60		
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	23	13		
PEPPER_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	32	18		
PEREZ_TP53_AND_TP63_TARGETS	207	128		
PEREZ_TP53_TARGETS	1201	742		
PEREZ_TP63_TARGETS	356	201		
PETRETTO_BLOOD_PRESSURE_DN	8	6		
PETRETTO_BLOOD_PRESSURE_UP	12		Rejected!	
PETRETTO_CARDIAC_HYPERTROPHY	34	25		
PETRETTO_HEART_MASS_QTL_CIS_DN	28	20		
PETRETTO_HEART_MASS_QTL_CIS_UP	32	22		
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_DN	10	9		
PETRETTO_LEFT_VENTRICLE_MASS_QTL_CIS_UP	6		Rejected!	
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	162	119		
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	131	96		
PETROVA_PROX1_TARGETS_DN	56	39		
PETROVA_PROX1_TARGETS_UP	25	19		
PHESSE_TARGETS_OF_APC_AND_MBD2_DN	11	7		
PHESSE_TARGETS_OF_APC_AND_MBD2_UP	18	8		
PHONG_TNF_RESPONSE_NOT_VIA_P38	341	267		
PHONG_TNF_RESPONSE_VIA_P38_COMPLETE	224	200		
PHONG_TNF_RESPONSE_VIA_P38_PARTIAL	164	139		
PHONG_TNF_TARGETS_DN	8	7		
PHONG_TNF_TARGETS_UP	63	51		
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN	137	109		
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	211	116		
PIEPOLI_LGI1_TARGETS_DN	17	6		
PIEPOLI_LGI1_TARGETS_UP	17	7		
PILON_KLF1_TARGETS_UP	503	345		
PIONTEK_PKD1_TARGETS_DN	18	9		
PIONTEK_PKD1_TARGETS_UP	42	24		
PLASARI_NFIC_TARGETS_BASAL_DN	22	12		
PLASARI_NFIC_TARGETS_BASAL_UP	30	15		
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN	33	17		
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	58	34		
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_DN	109	77		
PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP	33	19		
PLASARI_TGFB1_TARGETS_10HR_DN	258	168		
PLASARI_TGFB1_TARGETS_10HR_UP	196	121		
PLASARI_TGFB1_TARGETS_1HR_DN	5		Rejected!	
PLASARI_TGFB1_TARGETS_1HR_UP	33	20		
PODAR_RESPONSE_TO_ADAPHOSTIN_DN	18	13		
PODAR_RESPONSE_TO_ADAPHOSTIN_UP	148	123		
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN	61	36		
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_UP	63	47		
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN	44	41		
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_UP	48	32		
POOLA_INVASIVE_BREAST_CANCER_DN	133	76		
POOLA_INVASIVE_BREAST_CANCER_UP	292	138		
POS_HISTAMINE_RESPONSE_NETWORK	31	22		
POS_RESPONSE_TO_HISTAMINE_DN	11	6		
POS_RESPONSE_TO_HISTAMINE_UP	12	10		
PRAMOONJAGO_SOX4_TARGETS_DN	49	40		
PRAMOONJAGO_SOX4_TARGETS_UP	52	45		
PROVENZANI_METASTASIS_DN	142	113		
PROVENZANI_METASTASIS_UP	204	166		
PUIFFE_INVASION_INHIBITED_BY_ASCITES_DN	146	129		
PUIFFE_INVASION_INHIBITED_BY_ASCITES_UP	79	64		
PUJANA_ATM_PCC_NETWORK	1394		Rejected!	
PUJANA_BRCA1_PCC_NETWORK	1626		Rejected!	
PUJANA_BRCA2_PCC_NETWORK	426	374		
PUJANA_BRCA_CENTERED_NETWORK	118	117		
PUJANA_BREAST_CANCER_LIT_INT_NETWORK	101	92		
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_DN	9	9		
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	55	52		
PUJANA_CHEK2_PCC_NETWORK	761	686		
PUJANA_XPRSS_INT_NETWORK	168	160		
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN	161	119		
PURBEY_TARGETS_OF_CTBP1_AND_SATB1_UP	77	59		
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_DN	403	260		
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP	296	210		
PURWIN_A375_MEWO_COMMON_SOX10_TARGETS	29	20		
PURWIN_A375_SOX10_TARGETS	55	36		
PURWIN_MEWO_SOX10_TARGETS	92	71		
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN	29	11		
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	195	175		
PYEON_HPV_POSITIVE_TUMORS_DN	10	8		
PYEON_HPV_POSITIVE_TUMORS_UP	101	76		
QI_HYPOXIA	133	103		
QI_HYPOXIA_TARGETS_OF_HIF1A_AND_FOXA2	35	24		
QI_PLASMACYTOMA_DN	98	75		
QI_PLASMACYTOMA_UP	254	151		
QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR	82	66		
RADAEVA_RESPONSE_TO_IFNA1_DN	10	8		
RADAEVA_RESPONSE_TO_IFNA1_UP	47	37		
RADMACHER_AML_PROGNOSIS	81	55		
RAFFEL_VEGFA_TARGETS_DN	5		Rejected!	
RAFFEL_VEGFA_TARGETS_UP	9	5		
RAGHAVACHARI_PLATELET_SPECIFIC_GENES	71	51		
RAHMAN_TP53_TARGETS_PHOSPHORYLATED	20	20		
RAMALHO_STEMNESS_DN	72	44		
RAMALHO_STEMNESS_UP	196	184		
RAMASWAMY_METASTASIS_DN	59	37		
RAMASWAMY_METASTASIS_UP	66	56		
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN	8	7		
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_UP	6		Rejected!	
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_DN	10	7		
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	10	8		
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_EARLY_DN	10	8		
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_EARLY_UP	15	12		
RAMPON_ENRICHED_LEARNING_ENVIRONMENT_LATE_UP	21	15		
RANKIN_ANGIOGENIC_TARGETS_OF_VHL_HIF2A_DN	8		Rejected!	
RANKIN_ANGIOGENIC_TARGETS_OF_VHL_HIF2A_UP	5		Rejected!	
RAO_BOUND_BY_SALL4	226	170		
RAO_BOUND_BY_SALL4_ISOFORM_A	194	112		
RAO_BOUND_BY_SALL4_ISOFORM_B	526	366		
RASHI_NFKB1_TARGETS	18	12		
RASHI_RESPONSE_TO_IONIZING_RADIATION_1	39	31		
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	125	100		
RASHI_RESPONSE_TO_IONIZING_RADIATION_3	47	34		
RASHI_RESPONSE_TO_IONIZING_RADIATION_4	48	33		
RASHI_RESPONSE_TO_IONIZING_RADIATION_5	134	100		
RASHI_RESPONSE_TO_IONIZING_RADIATION_6	97	44		
RATTENBACHER_BOUND_BY_CELF1	445	290		
RAY_ALZHEIMERS_DISEASE	13	5		
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_DN	15	10		
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_UP	16	10		
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	266	194		
RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_UP	204	121		
REICHERT_G1S_REGULATORS_AS_PI3K_TARGETS	8	6		
REICHERT_MITOSIS_LIN9_TARGETS	27	27		
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	407	350		
REN_ALVEOLAR_RHABDOMYOSARCOMA_UP	99	41		
REN_BOUND_BY_E2F	62	55		
REN_MIF_TARGETS_DN	5		Rejected!	
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	368	334		
RHEIN_ALL_GLUCOCORTICOID_THERAPY_UP	76	51		
RHODES_CANCER_META_SIGNATURE	65	56		
RHODES_UNDIFFERENTIATED_CANCER	69	64		
RICKMAN_HEAD_AND_NECK_CANCER_A	105	39		
RICKMAN_HEAD_AND_NECK_CANCER_B	55	21		
RICKMAN_HEAD_AND_NECK_CANCER_C	116	61		
RICKMAN_HEAD_AND_NECK_CANCER_D	40	8		
RICKMAN_HEAD_AND_NECK_CANCER_E	87	35		
RICKMAN_HEAD_AND_NECK_CANCER_F	55	23		
RICKMAN_METASTASIS_DN	263	201		
RICKMAN_METASTASIS_UP	350	282		
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN	16	15		
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_UP	125	101		
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN	113	83		
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP	107	84		
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN	384	322		
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP	242	195		
RIEGE_DELTANP63_DIRECT_TARGETS_UP	138	132		
RIGGINS_TAMOXIFEN_RESISTANCE_DN	221	180		
RIGGINS_TAMOXIFEN_RESISTANCE_UP	67	40		
RIGGI_EWING_SARCOMA_PROGENITOR_DN	196	109		
RIGGI_EWING_SARCOMA_PROGENITOR_UP	437	254		
RIZKI_TUMOR_INVASIVENESS_2D_DN	63	51		
RIZKI_TUMOR_INVASIVENESS_2D_UP	69	49		
RIZKI_TUMOR_INVASIVENESS_3D_DN	262	180		
RIZKI_TUMOR_INVASIVENESS_3D_UP	209	149		
RIZ_ERYTHROID_DIFFERENTIATION	82	68		
RIZ_ERYTHROID_DIFFERENTIATION_12HR	36	22		
RIZ_ERYTHROID_DIFFERENTIATION_6HR	38	20		
RIZ_ERYTHROID_DIFFERENTIATION_APOBEC2	25	11		
RIZ_ERYTHROID_DIFFERENTIATION_CCNE1	43	33		
RIZ_ERYTHROID_DIFFERENTIATION_HBZ	37	20		
RIZ_ERYTHROID_DIFFERENTIATION_HEMGN	26	12		
RODRIGUES_DCC_TARGETS_DN	119	89		
RODRIGUES_DCC_TARGETS_UP	6		Rejected!	
RODRIGUES_NTN1_AND_DCC_TARGETS	35	29		
RODRIGUES_NTN1_TARGETS_DN	161	117		
RODRIGUES_NTN1_TARGETS_UP	17	12		
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_DN	542	384		
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	721	647		
RODRIGUES_THYROID_CARCINOMA_DN	78	69		
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN	807	638		
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_UP	644	600		
RODRIGUES_THYROID_CARCINOMA_UP	16	16		
RODWELL_AGING_KIDNEY_DN	148	106		
RODWELL_AGING_KIDNEY_NO_BLOOD_DN	148	112		
RODWELL_AGING_KIDNEY_NO_BLOOD_UP	224	129		
RODWELL_AGING_KIDNEY_UP	501	296		
ROESSLER_LIVER_CANCER_METASTASIS_DN	51	40		
ROESSLER_LIVER_CANCER_METASTASIS_UP	106	80		
ROETH_TERT_TARGETS_DN	9		Rejected!	
ROETH_TERT_TARGETS_UP	14	13		
ROPERO_HDAC2_TARGETS	112	67		
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	28	8		
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP	28	18		
ROSS_ACUTE_MYELOID_LEUKEMIA_CBF	82	50		
ROSS_AML_OF_FAB_M7_TYPE	70	52		
ROSS_AML_WITH_AML1_ETO_FUSION	79	44		
ROSS_AML_WITH_CBFB_MYH11_FUSION	52	33		
ROSS_AML_WITH_MLL_FUSIONS	80	55		
ROSS_AML_WITH_PML_RARA_FUSION	80	43		
ROSS_LEUKEMIA_WITH_MLL_FUSIONS	79	56		
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	140	134		
ROVERSI_GLIOMA_COPY_NUMBER_DN	54	37		
ROVERSI_GLIOMA_COPY_NUMBER_UP	100	61		
ROVERSI_GLIOMA_LOH_REGIONS	45	30		
ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_DN	26	17		
ROYLANCE_BREAST_CANCER_16Q_COPY_NUMBER_UP	64	48		
ROY_WOUND_BLOOD_VESSEL_DN	23	17		
ROY_WOUND_BLOOD_VESSEL_UP	50	25		
ROZANOV_MMP14_CORRELATED	11	9		
ROZANOV_MMP14_TARGETS_DN	35	20		
ROZANOV_MMP14_TARGETS_SUBSET	33	23		
ROZANOV_MMP14_TARGETS_UP	267	173		
RUAN_RESPONSE_TO_TNF_DN	79	48		
RUAN_RESPONSE_TO_TNF_TROGLITAZONE_DN	39	22		
RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP	17	8		
RUAN_RESPONSE_TO_TNF_UP	13	7		
RUAN_RESPONSE_TO_TROGLITAZONE_DN	17	11		
RUAN_RESPONSE_TO_TROGLITAZONE_UP	24	16		
RUIZ_TNC_TARGETS_DN	143	132		
RUIZ_TNC_TARGETS_UP	156	107		
RUNNE_GENDER_EFFECT_UP	9		Rejected!	
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	320	222		
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	341	266		
RUTELLA_RESPONSE_TO_HGF_DN	240	175		
RUTELLA_RESPONSE_TO_HGF_UP	421	313		
